"","x"
"PC1",0.49209
"PC2",0.10775
"PC3",0.07182
"PC4",0.05649
"PC5",0.04121
"PC6",0.02754
"PC7",0.02394
"PC8",0.01999
"PC9",0.01519
"PC10",0.01438
"PC11",0.01298
"PC12",0.0112
"PC13",0.00997
"PC14",0.00925
"PC15",0.00818
"PC16",0.00752
"PC17",0.00651
"PC18",0.00593
"PC19",0.00562
"PC20",0.00554
"PC21",0.0047
"PC22",0.00442
"PC23",0.00416
"PC24",0.00374
"PC25",0.0032
"PC26",0.00289
"PC27",0.00281
"PC28",0.00248
"PC29",0.00234
"PC30",0.00207
"PC31",0.00198
"PC32",0.00183
"PC33",0.00173
"PC34",0.00165
"PC35",0.00157
"PC36",0.00151
"PC37",0.00137
"PC38",0.00125
"PC39",0.00122
"PC40",0
