Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Sample
0.949521229,-13.25713997,0.822677969,8.407765918,0.092322087,-1.256172476,5.809055586,-2.500292243,21233_B
2.35692851,-8.106013293,-2.584535218,1.20060653,0.277434943,-3.83033928,-7.88954178,-0.090838554,21233_A
2.612120366,-5.813933882,-4.313200781,-2.701815723,0.114453806,-7.451187594,-3.051753884,1.753756262,21281_B
-13.41021991,0.515803562,-9.156268909,3.368744215,-1.405180039,1.299664788,3.510346361,4.735486545,21281_A
-2.066581851,-1.9369701,-4.37621871,-12.181871,3.036218424,-3.023201381,1.609032124,-5.587795013,21282_B
-10.51958367,-11.24850508,12.46799376,-2.257374948,1.818915213,5.160023348,-1.68457422,-1.374448096,21282_A
4.285777511,-7.828243579,-5.416235976,-4.13950166,-7.695977682,5.496002377,0.439076798,2.169971214,21328_A
5.956836277,3.114160664,4.427997898,8.984629134,-3.033803067,-4.94980956,4.592156641,-2.021895797,21328_B
4.609278233,1.945052346,1.732434873,4.877807546,6.829495944,3.186194295,-3.622194934,3.024223597,21336_A
4.853068708,3.538555711,0.798854285,2.008697242,6.178815356,1.25126215,0.811221919,3.16183576,21336_B
-9.109092474,15.25658609,-2.782396665,6.806540351,-1.386298372,-0.497344476,-4.365754049,-4.287756583,21622_B
2.042791254,8.675519812,-1.153323726,-7.097671923,5.725493378,1.032796901,5.288400293,0.323907658,21622_A
-0.976649429,9.143635021,10.89522932,-6.625162455,-6.344787089,-4.634778133,0.122925221,3.89607445,21946_B
8.415805243,6.001492685,-1.363008118,-0.651393226,-4.207102903,8.216889039,-1.568396077,-3.2022292,21946_A
